 iteration     Lower Limit (xl)     Upper Limit (xu)          Result (xr)       relative error
         0             0.000000            10.000000            10.000000             0.000000
         1             0.000000             5.000000             5.000000             1.000000
         2             0.000000             2.500000             2.500000             1.000000
         3             0.000000             1.250000             1.250000             1.000000
         4             0.000000             0.625000             0.625000             1.000000
         5             0.312500             0.625000             0.312500             1.000000
         6             0.468750             0.625000             0.468750             0.333333
         7             0.546875             0.625000             0.546875             0.142857
         8             0.546875             0.585938             0.585938             0.066667
         9             0.566406             0.585938             0.566406             0.034483
        10             0.566406             0.576172             0.576172             0.016949
        11             0.566406             0.571289             0.571289             0.008547
        12             0.566406             0.568848             0.568848             0.004292
        13             0.566406             0.567627             0.567627             0.002151
        14             0.567017             0.567627             0.567017             0.001076
        15             0.567017             0.567322             0.567322             0.000538
        16             0.567017             0.567169             0.567169             0.000269
        17             0.567093             0.567169             0.567093             0.000135
        18             0.567131             0.567169             0.567131             0.000067
        19             0.567131             0.567150             0.567150             0.000034
        20             0.567141             0.567150             0.567141             0.000017
        21             0.567141             0.567145             0.567145             0.000008
