 iteration     Lower Limit (xl)     Upper Limit (xu)          Result (xr)       relative error
         0             2.500000            20.000000             2.500000             0.000000
         1             4.444444            20.000000             4.444444             0.437500
         2             5.681818            20.000000             5.681818             0.217778
         3             6.371681            20.000000             6.371681             0.108270
         4             6.728188            20.000000             6.728188             0.052987
         5             6.905210            20.000000             6.905210             0.025636
         6             6.991367            20.000000             6.991367             0.012323
         7             7.032891            20.000000             7.032891             0.005904
         8             7.052809            20.000000             7.052809             0.002824
         9             7.062342            20.000000             7.062342             0.001350
        10             7.066899            20.000000             7.066899             0.000645
        11             7.069076            20.000000             7.069076             0.000308
        12             7.070117            20.000000             7.070117             0.000147
        13             7.070614            20.000000             7.070614             0.000070
        14             7.070851            20.000000             7.070851             0.000034
        15             7.070964            20.000000             7.070964             0.000016
        16             7.071018            20.000000             7.071018             0.000008
