 iteration                   Xi                 Xi+1       relative error
         0             1.000000             0.666670             0.499993
         1             0.666670             0.444460             0.499955
         2             0.444460             0.296310             0.499983
         3             0.296310             0.197540             0.500000
         4             0.197540             0.131700             0.499924
         5             0.131700             0.087804             0.499932
         6             0.087804             0.058539             0.499923
         7             0.058539             0.039029             0.499885
         8             0.039029             0.026023             0.499789
         9             0.026023             0.017352             0.499712
        10             0.017352             0.011571             0.499611
        11             0.011571             0.007717             0.499359
        12             0.007717             0.005148             0.499029
        13             0.005148             0.003436             0.498530
        14             0.003436             0.002294             0.497798
        15             0.002294             0.001533             0.496705
        16             0.001533             0.001025             0.495122
        17             0.001025             0.000687             0.492776
        18             0.000687             0.000461             0.489264
        19             0.000461             0.000311             0.484131
        20             0.000311             0.000210             0.476731
        21             0.000210             0.000143             0.466197
        22             0.000143             0.000099             0.451683
        23             0.000099             0.000069             0.432213
        24             0.000069             0.000049             0.407219
        25             0.000049             0.000036             0.376871
        26             0.000036             0.000027             0.342316
        27             0.000027             0.000020             0.305550
        28             0.000020             0.000016             0.268981
        29             0.000016             0.000013             0.234564
        30             0.000013             0.000011             0.203767
        31             0.000011             0.000009             0.177158
        32             0.000009             0.000008             0.154562
        33             0.000008             0.000007             0.135609
        34             0.000007             0.000006             0.119796
        35             0.000006             0.000006             0.106584
        36             0.000006             0.000005             0.095472
        37             0.000005             0.000005             0.086128
        38             0.000005             0.000004             0.078177
        39             0.000004             0.000004             0.071366
        40             0.000004             0.000004             0.065516
        41             0.000004             0.000004             0.060407
        42             0.000004             0.000003             0.055990
        43             0.000003             0.000003             0.052079
        44             0.000003             0.000003             0.048640
        45             0.000003             0.000003             0.045587
        46             0.000003             0.000003             0.042850
        47             0.000003             0.000003             0.040392
        48             0.000003             0.000003             0.038191
        49             0.000003             0.000003             0.036163
